24	298
91	299
64	301
60	300
36	301
50	299
10	298
76	298
55	299
74	300
15	299
8	299
59	299
9	301
22	299
42	299
38	299
23	299
72	299
82	298
84	298
75	299
44	300
87	297
76	298
4	299
51	300
43	300
9	300
15	298
43	301
29	301
9	298
40	298
41	300
80	300
79	300
87	300
72	298
25	299
9	298
24	298
37	301
74	298
79	298
5	297
77	298
22	299
91	301
87	300
16	298
65	298
80	299
87	299
68	300
41	299
91	300
44	300
66	298
59	300
29	298
85	298
35	300
54	298
14	299
7	299
19	300
92	300
30	299
68	299
13	300
34	298
39	299
35	297
5	299
77	300
6	298
37	300
6	301
52	298
86	300
35	301
17	299
18	300
93	299
6	297
14	298
50	299
35	299
66	299
20	298
67	300
31	297
44	298
42	298
60	300
26	299
15	299
22	300
63	297
